id,x,y,z,building,floor,type
1,7.8,-11,-4.9,2,0,1
2,7.8,-8.7,-4.9,2,0,1
3,7.8,-1.7,-4.9,2,0,1
4,34.9,-1.7,-4.9,2,0,1
5,34.9,-11.8,-4.9,2,0,1
6,47.5,0.7,-4.9,2,0,1
7,47.5,-1.7,-4.9,2,0,1
8,54.5,-1.7,-4.9,2,0,1
9,0,0,0,2,1,2
10,7.8,0,0,2,1,1
11,7.8,-8.7,0,2,1,1
12,7.8,-10.9,0,2,1,1
13,34.9,0,0,2,1,1
14,34.9,-10.2,0,2,1,1
15,39.1,2,0,2,1,1
16,60.2,0,0,2,1,1
17,60.2,2.4,0,2,1,1
18,49.9,0.3,4.2,2,2,1
19,58.9,-6.1,4.2,2,2,2
20,34.8,-6.1,4.2,2,2,1
21,34.8,-11.9,4.2,2,2,1
22,7.8,-6.1,4.2,2,2,1
23,7.8,-8.7,4.2,2,2,1
24,7.8,-11,4.2,2,2,1
25,-16.2,-6.1,4.2,2,2,1
26,34.9,2,0,2,1,1
27,55.8,0,0,2,1,1
28,55.8,-9.6,0,2,1,1
29,49.9,-6.1,4.2,2,2,1
30,66,-6.1,4.2,2,2,1
31,67.9,-6.1,4.2,2,2,1
32,67.9,-4.5,4.2,2,2,1
33,-6.6,0,0,2,1,1
