id,x,y,z,building,floor,type
1,0,0,0,7,1,2
2,0,6.7,0,7,1,1
3,0,13.5,0,7,1,1
4,8,13.5,0,7,1,1
5,8,10.1,0,7,1,2
6,10.5,13.5,0,7,1,1
7,-20.8,13.5,0,7,1,1
8,-20.8,10.1,0,7,1,1
9,-23,10.1,0,7,1,1
10,14.5,13.5,0,7,1,1
11,8,10.1,4.25,7,2,1
12,8,13.5,4.25,7,2,1
13,10.5,13.5,4.25,7,2,1
14,-20.8,13.5,4.25,7,2,1
15,-20.8,10.1,4.25,7,2,1
16,-23,13.5,4.25,7,2,1
17,8,10.1,8.5,7,3,1
18,8,13.5,8.5,7,3,1
19,10.5,13.5,8.5,7,3,1
20,-20.8,13.5,8.5,7,3,1
21,-20.8,10.1,8.5,7,3,1
22,-23,13.5,8.5,7,3,1
23,8,10.100000000000001,-4.59,7,0,1
24,4,10.1,-4.59,7,0,1
25,4,6.4,-4.59,7,0,1
26,-16.8,10.1,-4.59,7,0,1
27,-16.8,6.4,-4.59,7,0,1
28,-20.8,10.1,-4.59,7,0,1
29,,,,,,
30,,,,,,
11,,,,,,
11,,,,,,
