id,x,y,z,building,floor,type
1,0,0,0,8,5,2
2,-4.1,0,0,8,5,1
3,21.5,-3.5,0,8,5,1
4,21.5,-1,0,8,5,1
5,28,-1,0,8,5,1
6,33,-1,0,8,5,1
7,28,3.5,0,8,5,2
8,62.7,0,0,8,5,2
9,67.9,0,0,8,5,1
10,-4.1,0,-4.375,8,4,1
11,-4.1,4.8,-4.375,8,4,1
12,27.9,4.8,-4.375,8,4,1
13,27.9,-1,-4.375,8,4,1
14,33,-1,-4.375,8,4,1
15,21.5,-1,-4.375,8,4,1
16,21.5,-3.5,-4.375,8,4,1
17,67.9,4.8,-4.375,8,4,1
18,67.9,0,-4.375,8,4,1
19,87.4,4.8,-4.375,8,4,1
20,-4.1,0,-8.4,8,3,1
21,-4.1,4.9,-8.4,8,3,1
22,27.9,4.9,-8.4,8,3,1
23,27.9,10.9,-8.4,8,3,1
24,27.9,-1,-8.4,8,3,1
25,33,-1,-8.4,8,3,1
26,21.5,-1,-8.4,8,3,1
27,21.5,-3.5,-8.4,8,3,1
28,67.9,4.9,-8.4,8,3,1
29,67.9,0,-8.4,8,3,1
30,-4.1,0,-12.775,8,2,1
31,-0.6999999999999997,0,-12.775,8,2,1
32,-0.7,5.4,-12.775,8,2,1
33,21.5,0,-12.775,8,2,1
34,21.5,-3.5,-12.775,8,2,1
35,38.5,0,-12.775,8,2,1
36,38.5,-3.8,-12.775,8,2,1
37,63.9,0,-12.775,8,2,1
38,63.9,5.8,-12.775,8,2,1
39,67.9,0,-12.775,8,2,1
40,-4.1,0,-17.15,8,1,1
41,-0.6999999999999997,0,-17.15,8,1,1
42,-0.7,5.4,-17.15,8,1,1
43,21.8,0,-17.15,8,1,1
44,21.8,-2.7,-17.15,8,1,1
45,38.8,0,-17.15,8,1,1
46,38.8,-3.8,-17.15,8,1,1
47,64.19999999999999,0,-17.15,8,1,1
48,64.2,5.8,-17.15,8,1,1
49,67.89999999999999,0,-17.15,8,1,1
